GWAS	analysis_class	frozen_archetype	condition	set_id	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR	status
T1D	gained_vs_control	GFI	IFNg	DA0103	6	4	4.0	-0.59383	0.42794	0.91737	0.993261980830671	insufficient
T1D	gained_vs_control	GFI	dex	DA0104	6	4	4.0	1.0271	0.55923	0.033141	0.2964278333333333	insufficient
T1D	gained_vs_control	GFI	palmitate	DA0105	9	5	5.0	-0.87262	0.44777	0.97433	0.9956541874999999	insufficient
T1D	gained_vs_control	GMEB2/2	3-cyt	DA0106	11	3	3.0	0.84369	0.63452	0.091826	0.45830400000000004	insufficient
T1D	gained_vs_control	GMEB2/2	Ex-4_HG	DA0107	15	8	8.0	-0.022203	0.34155	0.52591	0.914618494623656	insufficient
T1D	gained_vs_control	GMEB2/2	IFNg	DA0108	8	4	4.0	0.30146	0.54022	0.28841	0.82917875	insufficient
T1D	gained_vs_control	GMEB2/2	dex	DA0109	18	11	11.0	-0.34634	0.3063	0.8709	0.9913178169014085	exploratory
T1D	gained_vs_control	GMEB2/2	palmitate	DA0110	11	6	6.0	0.0068747	0.42925	0.49361	0.9073305084745763	insufficient
T1D	gained_vs_control	HAND1	3-cyt	DA0111	3	1						insufficient
T1D	gained_vs_control	HAND1	Ex-4_HG	DA0112	5	3	3.0	0.69806	0.62358	0.13148	0.5292070000000001	insufficient
T1D	gained_vs_control	HAND1	IFNg	DA0113	3	2	2.0	-0.12343	0.76997	0.56368	0.9341559798994975	insufficient
T1D	gained_vs_control	HAND1	dex	DA0114	0	0						insufficient
T1D	gained_vs_control	HAND1	palmitate	DA0115	5	4	4.0	0.1785	0.64049	0.39024	0.8559150303030303	insufficient
T1D	gained_vs_control	HD/10	3-cyt	DA0116	121	51	51.0	-0.27853	0.15316	0.9655	0.993261980830671	primary
T1D	gained_vs_control	HD/10	Ex-4_HG	DA0117	132	55	55.0	-0.32576	0.14444	0.98794	0.9956541874999999	primary
T1D	gained_vs_control	HD/10	IFNg	DA0118	175	79	79.0	0.013882	0.12403	0.45544	0.8720674556213018	primary
T1D	gained_vs_control	HD/10	dex	DA0119	167	75	75.0	-0.057375	0.12503	0.67683	0.9574593991416309	primary
T1D	gained_vs_control	HD/10	palmitate	DA0120	95	30	30.0	-0.33631	0.20055	0.95322	0.993261980830671	primary
T1D	gained_vs_control	HD/11	3-cyt	DA0121	54	18	18.0	-0.087833	0.2383	0.64378	0.9509044036697248	exploratory
T1D	gained_vs_control	HD/11	Ex-4_HG	DA0122	45	18	18.0	0.097176	0.25337	0.35066	0.8559150303030303	exploratory
T1D	gained_vs_control	HD/11	IFNg	DA0123	54	22	22.0	-0.15324	0.22468	0.75239	0.9913178169014085	exploratory
T1D	gained_vs_control	HD/11	dex	DA0124	24	6	6.0	-0.056913	0.37752	0.55991	0.9341503626943005	insufficient
T1D	gained_vs_control	HD/11	palmitate	DA0125	59	25	25.0	0.061694	0.20422	0.38129	0.8559150303030303	exploratory
T1D	gained_vs_control	HD/2	3-cyt	DA0126	22	10	10.0	-0.37838	0.31399	0.88591	0.993261980830671	exploratory
T1D	gained_vs_control	HD/2	Ex-4_HG	DA0127	34	11	11.0	0.43849	0.30845	0.077586	0.44291947368421053	exploratory
T1D	gained_vs_control	HD/2	IFNg	DA0128	12	8	8.0	-0.35948	0.38393	0.82544	0.9913178169014085	insufficient
T1D	gained_vs_control	HD/2	dex	DA0129	6	1						insufficient
T1D	gained_vs_control	HD/2	palmitate	DA0130	17	7	7.0	0.48297	0.4178	0.12385	0.5179181818181818	insufficient
T1D	gained_vs_control	HIC/1	3-cyt	DA0131	274	170	170.0	0.11062	0.083183	0.091788	0.45830400000000004	primary
T1D	gained_vs_control	HIC/1	Ex-4_HG	DA0132	206	117	117.0	-0.010987	0.10392	0.5421	0.923174	primary
T1D	gained_vs_control	HIC/1	IFNg	DA0133	290	177	177.0	0.011064	0.079946	0.44496	0.8631151807228915	primary
T1D	gained_vs_control	HIC/1	dex	DA0134	141	92	92.0	0.037195	0.11674	0.37501	0.8559150303030303	primary
T1D	gained_vs_control	HIC/1	palmitate	DA0135	212	148	148.0	0.11047	0.086627	0.10111	0.465106	primary
T1D	gained_vs_control	IRF/1	3-cyt	DA0136	77	37	37.0	0.16827	0.1848	0.18127	0.6459107692307693	primary
T1D	gained_vs_control	IRF/1	Ex-4_HG	DA0137	0	0						insufficient
T1D	gained_vs_control	IRF/1	IFNg	DA0138	67	34	34.0	0.21231	0.1986	0.14254	0.5597302439024391	primary
T1D	gained_vs_control	IRF/1	dex	DA0139	0	0						insufficient
T1D	gained_vs_control	IRF/1	palmitate	DA0140	5	5	5.0	-0.74602	0.50285	0.93103	0.993261980830671	insufficient
T1D	gained_vs_control	IRF/3	3-cyt	DA0141	273	194	194.0	0.20765	0.077169	0.0035674	0.12700324000000002	primary
T1D	gained_vs_control	IRF/3	Ex-4_HG	DA0142	197	139	139.0	-0.053562	0.090293	0.72347	0.9706555833333332	primary
T1D	gained_vs_control	IRF/3	IFNg	DA0143	180	129	129.0	0.028143	0.097325	0.38623	0.8559150303030303	primary
T1D	gained_vs_control	IRF/3	dex	DA0144	191	131	131.0	0.035674	0.094531	0.35295	0.8559150303030303	primary
