GWAS	analysis_class	frozen_archetype	condition	set_id	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR	status
T2D Suzuki 2024	gained_vs_control	Ebox/CATATG	Ex-4_HG	DA0072	18	6	6.0	-0.077623	0.53873	0.55728	0.6994302723735408	insufficient
T2D Suzuki 2024	gained_vs_control	Ebox/CATATG	IFNg	DA0073	12	2	2.0	0.48319	0.86656	0.28856	0.47259061224489796	insufficient
T2D Suzuki 2024	gained_vs_control	Ebox/CATATG	dex	DA0074	11	4	4.0	0.1524	0.82788	0.42697	0.6037769603524229	insufficient
T2D Suzuki 2024	gained_vs_control	Ebox/CATATG	palmitate	DA0075	10	4	4.0	0.03823	0.87623	0.4826	0.6495616317991632	insufficient
T2D Suzuki 2024	gained_vs_control	FOX/4	3-cyt	DA0076	303	116	114.0	0.085309	0.13064	0.25687	0.43521279792746115	primary
T2D Suzuki 2024	gained_vs_control	FOX/4	Ex-4_HG	DA0077	250	92	92.0	0.19283	0.14555	0.092619	0.247755825	primary
T2D Suzuki 2024	gained_vs_control	FOX/4	IFNg	DA0078	317	118	118.0	0.043591	0.12299	0.36152	0.5526091428571429	primary
T2D Suzuki 2024	gained_vs_control	FOX/4	dex	DA0079	298	113	111.0	0.10008	0.13515	0.22951	0.413770773480663	primary
T2D Suzuki 2024	gained_vs_control	FOX/4	palmitate	DA0080	273	116	114.0	0.034828	0.1255	0.39069	0.5730802739726027	primary
T2D Suzuki 2024	gained_vs_control	FOX/5	3-cyt	DA0081	735	334	326.0	0.15261	0.078178	0.02547	0.1034920253164557	primary
T2D Suzuki 2024	gained_vs_control	FOX/5	Ex-4_HG	DA0082	863	417	408.0	-0.027688	0.071667	0.65038	0.7618593140794223	primary
T2D Suzuki 2024	gained_vs_control	FOX/5	IFNg	DA0083	765	378	366.0	0.038842	0.072968	0.29725	0.47944559999999997	primary
T2D Suzuki 2024	gained_vs_control	FOX/5	dex	DA0084	849	435	424.0	-0.012776	0.070272	0.57213	0.704146091954023	primary
T2D Suzuki 2024	gained_vs_control	FOX/5	palmitate	DA0085	837	413	399.0	-0.017968	0.07297	0.59725	0.7262017045454545	primary
T2D Suzuki 2024	gained_vs_control	FOX/6	3-cyt	DA0086	248	121	119.0	0.1977	0.12823	0.061575	0.19378014705882352	primary
T2D Suzuki 2024	gained_vs_control	FOX/6	Ex-4_HG	DA0087	261	127	124.0	0.19924	0.12549	0.056192	0.18595496907216494	primary
T2D Suzuki 2024	gained_vs_control	FOX/6	IFNg	DA0088	261	134	132.0	0.12338	0.1212	0.15435	0.3337322818791946	primary
T2D Suzuki 2024	gained_vs_control	FOX/6	dex	DA0089	255	130	127.0	0.12067	0.12162	0.16057	0.34209730263157895	primary
T2D Suzuki 2024	gained_vs_control	FOX/6	palmitate	DA0090	291	147	144.0	0.15562	0.11861	0.094752	0.25136687603305785	primary
T2D Suzuki 2024	gained_vs_control	GATA	3-cyt	DA0091	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	GATA	Ex-4_HG	DA0092	1	1						insufficient
T2D Suzuki 2024	gained_vs_control	GATA	IFNg	DA0093	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	GATA	dex	DA0094	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	GATA	palmitate	DA0095	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	GC-tract	3-cyt	DA0096	879	582	563.0	0.18761	0.059579	0.00082109	0.006589247250000001	primary
T2D Suzuki 2024	gained_vs_control	GC-tract	Ex-4_HG	DA0097	1068	724	710.0	0.22955	0.052927	7.2652e-06	0.00011660646	primary
T2D Suzuki 2024	gained_vs_control	GC-tract	IFNg	DA0098	693	468	450.0	0.11018	0.067338	0.050908	0.170223625	primary
T2D Suzuki 2024	gained_vs_control	GC-tract	dex	DA0099	1542	1043	1014.0	0.18752	0.045198	1.6801e-05	0.000224713375	primary
T2D Suzuki 2024	gained_vs_control	GC-tract	palmitate	DA0100	1335	921	898.0	0.22754	0.047581	8.7534e-07	2.554401272727273e-05	primary
T2D Suzuki 2024	gained_vs_control	GFI	3-cyt	DA0101	8	4	4.0	-0.64761	0.73096	0.81218	0.8632774172185431	insufficient
T2D Suzuki 2024	gained_vs_control	GFI	Ex-4_HG	DA0102	8	4	4.0	0.72611	0.80486	0.18349	0.363582037037037	insufficient
T2D Suzuki 2024	gained_vs_control	GFI	IFNg	DA0103	6	4	4.0	-0.64397	0.76796	0.79913	0.8561635215946843	insufficient
T2D Suzuki 2024	gained_vs_control	GFI	dex	DA0104	6	4	4.0	0.67405	0.80924	0.20245	0.3891404191616766	insufficient
T2D Suzuki 2024	gained_vs_control	GFI	palmitate	DA0105	9	5	5.0	-0.10839	0.71814	0.55998	0.6994302723735408	insufficient
T2D Suzuki 2024	gained_vs_control	GMEB2/2	3-cyt	DA0106	11	3	3.0	0.87103	0.81207	0.14173	0.32038964788732394	insufficient
T2D Suzuki 2024	gained_vs_control	GMEB2/2	Ex-4_HG	DA0107	15	8	8.0	0.26102	0.59755	0.33113	0.5117480769230769	insufficient
T2D Suzuki 2024	gained_vs_control	GMEB2/2	IFNg	DA0108	8	4	4.0	0.47264	0.64648	0.23236	0.413770773480663	insufficient
T2D Suzuki 2024	gained_vs_control	GMEB2/2	dex	DA0109	18	11	11.0	0.30675	0.43144	0.23854	0.42045766304347826	exploratory
T2D Suzuki 2024	gained_vs_control	GMEB2/2	palmitate	DA0110	11	6	6.0	-0.10777	0.72035	0.55946	0.6994302723735408	insufficient
T2D Suzuki 2024	gained_vs_control	HAND1	3-cyt	DA0111	3	1						insufficient
T2D Suzuki 2024	gained_vs_control	HAND1	Ex-4_HG	DA0112	5	3	3.0	1.5797	0.70068	0.012086	0.058781909090909086	insufficient
T2D Suzuki 2024	gained_vs_control	HAND1	IFNg	DA0113	3	2	2.0	2.9242	1.101	0.0039585	0.02397506603773585	insufficient
T2D Suzuki 2024	gained_vs_control	HAND1	dex	DA0114	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	HAND1	palmitate	DA0115	5	4	4.0	0.12336	0.78772	0.43778	0.612775043478261	insufficient
T2D Suzuki 2024	gained_vs_control	HD/10	3-cyt	DA0116	121	51	50.0	0.047432	0.19401	0.40343	0.5807221076233184	primary
T2D Suzuki 2024	gained_vs_control	HD/10	Ex-4_HG	DA0117	132	55	54.0	0.1802	0.20769	0.1928	0.37893563636363636	primary
T2D Suzuki 2024	gained_vs_control	HD/10	IFNg	DA0118	175	79	77.0	0.19023	0.16386	0.12285	0.2935128888888889	primary
T2D Suzuki 2024	gained_vs_control	HD/10	dex	DA0119	167	75	74.0	0.20076	0.16162	0.1071	0.2712829133858267	primary
T2D Suzuki 2024	gained_vs_control	HD/10	palmitate	DA0120	95	30	30.0	0.16055	0.24847	0.25909	0.43521279792746115	primary
T2D Suzuki 2024	gained_vs_control	HD/11	3-cyt	DA0121	54	18	17.0	-0.0014994	0.36041	0.50166	0.6668310743801652	exploratory
T2D Suzuki 2024	gained_vs_control	HD/11	Ex-4_HG	DA0122	45	18	18.0	-0.3677	0.37126	0.839	0.8847784690553745	exploratory
T2D Suzuki 2024	gained_vs_control	HD/11	IFNg	DA0123	54	22	22.0	0.021864	0.27899	0.46877	0.6376066525423729	exploratory
T2D Suzuki 2024	gained_vs_control	HD/11	dex	DA0124	24	6	6.0	-0.16884	0.73982	0.59026	0.7231811450381679	insufficient
T2D Suzuki 2024	gained_vs_control	HD/11	palmitate	DA0125	59	25	24.0	-0.044352	0.32508	0.55426	0.6994302723735408	exploratory
T2D Suzuki 2024	gained_vs_control	HD/2	3-cyt	DA0126	22	10	10.0	0.66971	0.47581	0.07965	0.22460426315789475	exploratory
T2D Suzuki 2024	gained_vs_control	HD/2	Ex-4_HG	DA0127	34	11	11.0	0.044861	0.34928	0.4489	0.6211073275862069	exploratory
T2D Suzuki 2024	gained_vs_control	HD/2	IFNg	DA0128	12	8	8.0	0.17657	0.51406	0.36562	0.5562275829383886	insufficient
T2D Suzuki 2024	gained_vs_control	HD/2	dex	DA0129	6	1						insufficient
T2D Suzuki 2024	gained_vs_control	HD/2	palmitate	DA0130	17	7	7.0	-0.56779	0.5583	0.84542	0.8847784690553745	insufficient
T2D Suzuki 2024	gained_vs_control	HIC/1	3-cyt	DA0131	274	170	165.0	0.077243	0.11317	0.24746	0.42706806451612905	primary
T2D Suzuki 2024	gained_vs_control	HIC/1	Ex-4_HG	DA0132	206	117	111.0	0.14822	0.13452	0.13527	0.31015478571428573	primary
T2D Suzuki 2024	gained_vs_control	HIC/1	IFNg	DA0133	290	177	167.0	0.27091	0.10814	0.0061229	0.032757515	primary
T2D Suzuki 2024	gained_vs_control	HIC/1	dex	DA0134	141	92	87.0	0.41876	0.15101	0.0027794	0.018207906122448977	primary
T2D Suzuki 2024	gained_vs_control	HIC/1	palmitate	DA0135	212	148	142.0	0.093858	0.12135	0.21964	0.40680293103448273	primary
T2D Suzuki 2024	gained_vs_control	IRF/1	3-cyt	DA0136	77	37	35.0	-0.091601	0.2403	0.64847	0.7618593140794223	primary
T2D Suzuki 2024	gained_vs_control	IRF/1	Ex-4_HG	DA0137	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	IRF/1	IFNg	DA0138	67	34	33.0	0.024265	0.26286	0.46323	0.6348287234042553	primary
T2D Suzuki 2024	gained_vs_control	IRF/1	dex	DA0139	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	IRF/1	palmitate	DA0140	5	5	5.0	-1.6771	0.68644	0.99271	0.9961599999999999	insufficient
T2D Suzuki 2024	gained_vs_control	IRF/3	3-cyt	DA0141	273	194	186.0	0.15523	0.099127	0.058693	0.19030760606060607	primary
T2D Suzuki 2024	gained_vs_control	IRF/3	Ex-4_HG	DA0142	197	139	137.0	0.032966	0.11172	0.38397	0.5688800460829494	primary
T2D Suzuki 2024	gained_vs_control	IRF/3	IFNg	DA0143	180	129	127.0	0.084064	0.11938	0.24067	0.42045766304347826	primary
T2D Suzuki 2024	gained_vs_control	IRF/3	dex	DA0144	191	131	130.0	0.14831	0.11952	0.10733	0.2712829133858267	primary
T2D Suzuki 2024	gained_vs_control	IRF/3	palmitate	DA0145	303	218	211.0	0.1856	0.091837	0.021651	0.09025936363636364	primary
T2D Suzuki 2024	gained_vs_control	KAISO	3-cyt	DA0146	1672	1134	1105.0	0.1581	0.043892	0.00015836	0.0015757209090909092	primary
T2D Suzuki 2024	gained_vs_control	KAISO	Ex-4_HG	DA0147	1856	1268	1238.0	0.20385	0.041982	6.0597e-07	2.161293e-05	primary
T2D Suzuki 2024	gained_vs_control	KAISO	IFNg	DA0148	2395	1614	1584.0	0.21276	0.037562	7.5181e-09	4.8266202e-07	primary
T2D Suzuki 2024	gained_vs_control	KAISO	dex	DA0149	1839	1260	1230.0	0.19528	0.041883	1.5743e-06	3.6261535714285714e-05	primary
T2D Suzuki 2024	gained_vs_control	KAISO	palmitate	DA0150	1455	978	952.0	0.18978	0.047153	2.8659e-05	0.00035382842307692304	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/1	3-cyt	DA0151	1409	877	845.0	0.14276	0.050334	0.0022858	0.0152862875	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/1	Ex-4_HG	DA0152	1352	822	794.0	0.090516	0.051299	0.038836	0.1400714157303371	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/1	IFNg	DA0153	1143	701	671.0	0.085891	0.055321	0.060268	0.19154483168316833	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/1	dex	DA0154	2025	1226	1183.0	0.19319	0.042623	2.9362e-06	5.8907512499999995e-05	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/1	palmitate	DA0155	1656	1012	971.0	0.082521	0.046512	0.038026	0.1400714157303371	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/2	3-cyt	DA0156	2719	1823	1767.0	0.15364	0.035384	7.1031e-06	0.00011660646	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/2	Ex-4_HG	DA0157	3419	2314	2244.0	0.23066	0.032219	4.2472e-13	1.3633512e-10	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/2	IFNg	DA0158	3792	2605	2520.0	0.19107	0.030281	1.435e-10	2.303175e-08	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/2	dex	DA0159	3166	2145	2078.0	0.15955	0.033013	6.7934e-07	2.1806814e-05	primary
T2D Suzuki 2024	gained_vs_control	KLF/SP/2	palmitate	DA0160	2617	1805	1744.0	0.17762	0.035418	2.6814e-07	1.0759117500000001e-05	primary
T2D Suzuki 2024	gained_vs_control	MAF	3-cyt	DA0161	627	306	300.0	0.12547	0.083211	0.065809	0.20312200961538465	primary
T2D Suzuki 2024	gained_vs_control	MAF	Ex-4_HG	DA0162	620	294	291.0	0.092103	0.082094	0.13095	0.30460108695652177	primary
T2D Suzuki 2024	gained_vs_control	MAF	IFNg	DA0163	557	258	255.0	0.18665	0.087561	0.016527	0.07169144594594594	primary
T2D Suzuki 2024	gained_vs_control	MAF	dex	DA0164	850	419	412.0	0.090758	0.070238	0.098162	0.2561788780487805	primary
T2D Suzuki 2024	gained_vs_control	MAF	palmitate	DA0165	772	364	357.0	0.19122	0.07575	0.0058009	0.03156082881355932	primary
T2D Suzuki 2024	gained_vs_control	MBD2	3-cyt	DA0166	2258	1534	1491.0	0.12889	0.038136	0.00036358	0.0031543021621621625	primary
T2D Suzuki 2024	gained_vs_control	MBD2	Ex-4_HG	DA0167	2243	1503	1458.0	0.14759	0.038631	6.6867e-05	0.0007401485172413792	primary
T2D Suzuki 2024	gained_vs_control	MBD2	IFNg	DA0168	2607	1785	1728.0	0.078849	0.035648	0.013493	0.06258124285714285	primary
T2D Suzuki 2024	gained_vs_control	MBD2	dex	DA0169	1959	1325	1288.0	0.11984	0.039936	0.0013482	0.009835731818181818	primary
T2D Suzuki 2024	gained_vs_control	MBD2	palmitate	DA0170	1798	1243	1214.0	0.092582	0.04194	0.013647	0.06258124285714285	primary
T2D Suzuki 2024	gained_vs_control	NFAC/2	3-cyt	DA0171	2	1						insufficient
T2D Suzuki 2024	gained_vs_control	NFAC/2	Ex-4_HG	DA0172	7	4	4.0	-0.054885	0.7883	0.52775	0.6886493902439025	insufficient
T2D Suzuki 2024	gained_vs_control	NFAC/2	IFNg	DA0173	1	0						insufficient
T2D Suzuki 2024	gained_vs_control	NFAC/2	dex	DA0174	4	2	2.0	2.7519	1.1257	0.0072574	0.036400396875	insufficient
T2D Suzuki 2024	gained_vs_control	NFAC/2	palmitate	DA0175	6	1						insufficient
T2D Suzuki 2024	gained_vs_control	NFAT/3	3-cyt	DA0176	9	6	6.0	-0.74694	0.52176	0.92386	0.9444556050955414	insufficient
T2D Suzuki 2024	gained_vs_control	NFAT/3	Ex-4_HG	DA0177	3	2	2.0	0.83436	0.88795	0.17371	0.35069754716981133	insufficient
T2D Suzuki 2024	gained_vs_control	NFAT/3	IFNg	DA0178	5	1						insufficient
T2D Suzuki 2024	gained_vs_control	NFAT/3	dex	DA0179	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	NFAT/3	palmitate	DA0180	6	3	3.0	-0.75217	0.75132	0.84161	0.8847784690553745	insufficient
T2D Suzuki 2024	gained_vs_control	NFAT/4	3-cyt	DA0181	110	54	51.0	0.34977	0.20037	0.040453	0.14269684615384617	primary
T2D Suzuki 2024	gained_vs_control	NFAT/4	Ex-4_HG	DA0182	84	44	43.0	0.35486	0.19342	0.033285	0.12745210588235295	primary
T2D Suzuki 2024	gained_vs_control	NFAT/4	IFNg	DA0183	40	26	25.0	0.3767	0.25618	0.070728	0.2110872222222222	exploratory
T2D Suzuki 2024	gained_vs_control	NFAT/4	dex	DA0184	129	71	69.0	0.1739	0.17122	0.15491	0.3337322818791946	primary
T2D Suzuki 2024	gained_vs_control	NFAT/4	palmitate	DA0185	78	48	46.0	0.31482	0.20763	0.064739	0.20175940776699028	primary
T2D Suzuki 2024	gained_vs_control	NFY	3-cyt	DA0186	190	97	95.0	0.04593	0.14473	0.37549	0.56415	primary
T2D Suzuki 2024	gained_vs_control	NFY	Ex-4_HG	DA0187	172	76	75.0	0.12049	0.16248	0.22919	0.413770773480663	primary
T2D Suzuki 2024	gained_vs_control	NFY	IFNg	DA0188	137	65	64.0	-0.050359	0.17887	0.61085	0.7366288764044944	primary
T2D Suzuki 2024	gained_vs_control	NFY	dex	DA0189	191	96	93.0	0.079781	0.14828	0.29527	0.4793762121212121	primary
T2D Suzuki 2024	gained_vs_control	NFY	palmitate	DA0190	171	77	74.0	0.19552	0.15983	0.11061	0.2752388372093023	primary
T2D Suzuki 2024	gained_vs_control	NR/1	3-cyt	DA0191	631	311	305.0	0.043735	0.081469	0.29569	0.4793762121212121	primary
T2D Suzuki 2024	gained_vs_control	NR/1	Ex-4_HG	DA0192	412	207	200.0	0.093174	0.098659	0.17249	0.35069754716981133	primary
T2D Suzuki 2024	gained_vs_control	NR/1	IFNg	DA0193	509	254	246.0	0.052012	0.087392	0.27587	0.45412446153846153	primary
T2D Suzuki 2024	gained_vs_control	NR/1	dex	DA0194	378	188	182.0	0.060733	0.10146	0.27474	0.45412446153846153	primary
T2D Suzuki 2024	gained_vs_control	NR/1	palmitate	DA0195	809	418	410.0	0.062335	0.068866	0.1827	0.363582037037037	primary
T2D Suzuki 2024	gained_vs_control	NR/13	3-cyt	DA0196	4	0						insufficient
T2D Suzuki 2024	gained_vs_control	NR/13	Ex-4_HG	DA0197	5	2	2.0	-0.80969	1.0775	0.7738	0.8439470847457627	insufficient
T2D Suzuki 2024	gained_vs_control	NR/13	IFNg	DA0198	3	2	2.0	-0.33973	0.84438	0.65628	0.7618593140794223	insufficient
T2D Suzuki 2024	gained_vs_control	NR/13	dex	DA0199	0	0						insufficient
T2D Suzuki 2024	gained_vs_control	NR/13	palmitate	DA0200	3	1						insufficient
T2D Suzuki 2024	gained_vs_control	NR/18	3-cyt	DA0201	91	41	40.0	-0.071083	0.20538	0.63537	0.7535002941176472	primary
T2D Suzuki 2024	gained_vs_control	NR/18	Ex-4_HG	DA0202	98	43	42.0	0.24815	0.20628	0.11451	0.2827516153846154	primary
T2D Suzuki 2024	gained_vs_control	NR/18	IFNg	DA0203	116	59	58.0	0.078984	0.18038	0.33074	0.5117480769230769	primary
T2D Suzuki 2024	gained_vs_control	NR/18	dex	DA0204	55	27	26.0	-0.0075216	0.2677	0.51121	0.6748599183673469	exploratory
T2D Suzuki 2024	gained_vs_control	NR/18	palmitate	DA0205	88	42	42.0	-0.24273	0.21501	0.87052	0.9014094193548386	primary
T2D Suzuki 2024	gained_vs_control	NR/20	3-cyt	DA0206	22	10	10.0	-0.050939	0.41143	0.54927	0.6994302723735408	exploratory
T2D Suzuki 2024	gained_vs_control	NR/20	Ex-4_HG	DA0207	29	11	11.0	-0.27633	0.41572	0.74688	0.8267188965517241	exploratory
T2D Suzuki 2024	gained_vs_control	NR/20	IFNg	DA0208	14	6	5.0	-0.77865	0.65428	0.88298	0.9113716398713826	insufficient
T2D Suzuki 2024	gained_vs_control	NR/20	dex	DA0209	505	237	232.0	-0.03253	0.092854	0.63696	0.7535002941176472	primary
T2D Suzuki 2024	gained_vs_control	NR/20	palmitate	DA0210	11	3	2.0	-0.93967	1.1107	0.80123	0.8561635215946843	insufficient
T2D Suzuki 2024	gained_vs_control	NR/4	3-cyt	DA0211	152	69	68.0	-0.0011689	0.17142	0.50272	0.6668310743801652	primary
T2D Suzuki 2024	gained_vs_control	NR/4	Ex-4_HG	DA0212	142	74	72.0	0.15442	0.16195	0.17018	0.35069754716981133	primary
T2D Suzuki 2024	gained_vs_control	NR/4	IFNg	DA0213	109	52	50.0	0.18003	0.19089	0.17282	0.35069754716981133	primary
T2D Suzuki 2024	gained_vs_control	NR/4	dex	DA0214	101	48	46.0	0.27202	0.19499	0.081516	0.22557444827586207	primary
T2D Suzuki 2024	gained_vs_control	NR/4	palmitate	DA0215	138	58	56.0	0.11828	0.18475	0.26102	0.43521279792746115	primary
T2D Suzuki 2024	gained_vs_control	NRF1	3-cyt	DA0216	1895	1258	1225.0	0.23415	0.042107	1.3653e-08	7.304355e-07	primary
T2D Suzuki 2024	gained_vs_control	NRF1	Ex-4_HG	DA0217	2012	1340	1304.0	0.17326	0.040696	1.0398e-05	0.00015590386363636364	primary
T2D Suzuki 2024	gained_vs_control	NRF1	IFNg	DA0218	1988	1311	1273.0	0.17512	0.041192	1.0685e-05	0.00015590386363636364	primary
T2D Suzuki 2024	gained_vs_control	NRF1	dex	DA0219	2620	1745	1701.0	0.22196	0.036797	8.2875e-10	8.867624999999999e-08	primary
T2D Suzuki 2024	gained_vs_control	NRF1	palmitate	DA0220	2075	1360	1325.0	0.18341	0.04041	2.8489e-06	5.8907512499999995e-05	primary
T2D Suzuki 2024	gained_vs_control	OCT4+SOX2	3-cyt	DA0221	8	6	6.0	0.69642	0.65275	0.14302	0.32104489510489514	insufficient
T2D Suzuki 2024	gained_vs_control	OCT4+SOX2	Ex-4_HG	DA0222	2	2	2.0	-0.12816	0.75313	0.56756	0.704146091954023	insufficient
T2D Suzuki 2024	gained_vs_control	OCT4+SOX2	IFNg	DA0223	3	2	2.0	-0.67607	1.2001	0.7134	0.8063429577464789	insufficient
T2D Suzuki 2024	gained_vs_control	OCT4+SOX2	dex	DA0224	7	3	3.0	0.19005	0.92536	0.41864	0.5976449333333334	insufficient
T2D Suzuki 2024	gained_vs_control	OCT4+SOX2	palmitate	DA0225	6	3	3.0	0.90577	0.91566	0.16129	0.34209730263157895	insufficient
T2D Suzuki 2024	gained_vs_control	OSR2	3-cyt	DA0226	220	142	138.0	0.17166	0.12298	0.081385	0.22557444827586207	primary
T2D Suzuki 2024	gained_vs_control	OSR2	Ex-4_HG	DA0227	58	35	34.0	0.55639	0.22589	0.0068928	0.035120457142857144	primary
T2D Suzuki 2024	gained_vs_control	OSR2	IFNg	DA0228	25	12	11.0	-0.13861	0.4472	0.6217	0.7446481343283583	exploratory
T2D Suzuki 2024	gained_vs_control	OSR2	dex	DA0229	587	364	354.0	0.1713	0.076775	0.012843	0.06062651470588235	primary
T2D Suzuki 2024	gained_vs_control	OSR2	palmitate	DA0230	110	66	63.0	-0.089852	0.18358	0.68774	0.7884447857142858	primary
T2D Suzuki 2024	gained_vs_control	PAX/1	3-cyt	DA0231	124	57	57.0	0.11483	0.17938	0.26105	0.43521279792746115	primary
T2D Suzuki 2024	gained_vs_control	PAX/1	Ex-4_HG	DA0232	139	66	64.0	-0.17477	0.18699	0.82501	0.874020495049505	primary
T2D Suzuki 2024	gained_vs_control	PAX/1	IFNg	DA0233	79	37	36.0	0.42684	0.23328	0.033651	0.12745210588235295	primary
T2D Suzuki 2024	gained_vs_control	PAX/1	dex	DA0234	41	27	26.0	-0.35566	0.29101	0.88917	0.9148191346153846	exploratory
T2D Suzuki 2024	gained_vs_control	PAX/1	palmitate	DA0235	153	76	71.0	0.13089	0.16406	0.2125	0.39890350877192976	primary
T2D Suzuki 2024	gained_vs_control	POU/1	3-cyt	DA0236	71	27	27.0	-0.47989	0.2685	0.96305	0.9813938095238095	exploratory
T2D Suzuki 2024	gained_vs_control	POU/1	Ex-4_HG	DA0237	78	35	35.0	0.13077	0.24761	0.29872	0.47944559999999997	primary
T2D Suzuki 2024	gained_vs_control	POU/1	IFNg	DA0238	80	25	24.0	-0.32678	0.30351	0.85918	0.8954440909090909	exploratory
T2D Suzuki 2024	gained_vs_control	POU/1	dex	DA0239	103	39	38.0	-0.13987	0.235	0.72415	0.8071255208333333	primary
T2D Suzuki 2024	gained_vs_control	POU/1	palmitate	DA0240	115	49	48.0	0.19223	0.20603	0.17541	0.35191631250000005	primary
T2D Suzuki 2024	gained_vs_control	POU/2	3-cyt	DA0241	22	7	7.0	0.15792	0.48944	0.37348	0.56415	insufficient
T2D Suzuki 2024	gained_vs_control	POU/2	Ex-4_HG	DA0242	19	8	8.0	0.041284	0.46659	0.46475	0.6348287234042553	insufficient
T2D Suzuki 2024	gained_vs_control	POU/2	IFNg	DA0243	16	8	8.0	-0.04807	0.49061	0.53902	0.6993030120481928	insufficient
T2D Suzuki 2024	gained_vs_control	POU/2	dex	DA0244	13	5	5.0	-0.34131	0.57622	0.72318	0.8071255208333333	insufficient
T2D Suzuki 2024	gained_vs_control	POU/2	palmitate	DA0245	26	9	9.0	-0.49254	0.44595	0.86529	0.898893495145631	insufficient
T2D Suzuki 2024	gained_vs_control	PRDM1	3-cyt	DA0246	1194	656	635.0	-0.023649	0.056748	0.66156	0.7638876258992806	primary
T2D Suzuki 2024	gained_vs_control	PRDM1	Ex-4_HG	DA0247	109	61	60.0	-0.47801	0.17929	0.99616	0.9961599999999999	primary
T2D Suzuki 2024	gained_vs_control	PRDM1	IFNg	DA0248	866	482	468.0	-0.044312	0.064646	0.75347	0.8311473195876289	primary
T2D Suzuki 2024	gained_vs_control	PRDM1	dex	DA0249	98	55	54.0	0.12313	0.19293	0.26167	0.43521279792746115	primary
T2D Suzuki 2024	gained_vs_control	PRDM1	palmitate	DA0250	207	127	123.0	-0.012854	0.12568	0.54073	0.6993030120481928	primary
T2D Suzuki 2024	gained_vs_control	PRDM14	3-cyt	DA0251	49	26	24.0	-0.055347	0.30501	0.572	0.704146091954023	exploratory
T2D Suzuki 2024	gained_vs_control	PRDM14	Ex-4_HG	DA0252	39	15	15.0	0.020328	0.35688	0.47729	0.6464560759493672	exploratory
T2D Suzuki 2024	gained_vs_control	PRDM14	IFNg	DA0253	49	20	19.0	0.22269	0.31674	0.24101	0.42045766304347826	exploratory
T2D Suzuki 2024	gained_vs_control	PRDM14	dex	DA0254	29	13	13.0	-0.77752	0.40549	0.9724	0.9866547634069401	exploratory
T2D Suzuki 2024	gained_vs_control	PRDM14	palmitate	DA0255	47	23	22.0	-0.11262	0.27777	0.65743	0.7618593140794223	exploratory
T2D Suzuki 2024	gained_vs_control	REST/NRSF	3-cyt	DA0256	735	463	450.0	0.16945	0.066668	0.0055213	0.030557539655172414	primary
T2D Suzuki 2024	gained_vs_control	REST/NRSF	Ex-4_HG	DA0257	526	345	342.0	0.13723	0.075051	0.033749	0.12745210588235295	primary
T2D Suzuki 2024	gained_vs_control	REST/NRSF	IFNg	DA0258	920	595	578.0	0.1513	0.059105	0.0052408	0.029662652631578947	primary
T2D Suzuki 2024	gained_vs_control	REST/NRSF	dex	DA0259	303	188	184.0	0.078556	0.10445	0.226	0.413770773480663	primary
T2D Suzuki 2024	gained_vs_control	REST/NRSF	palmitate	DA0260	578	379	367.0	0.10684	0.075155	0.077584	0.22236128571428573	primary
T2D Suzuki 2024	gained_vs_control	RFX/1	3-cyt	DA0261	1922	1287	1252.0	0.12426	0.040993	0.0012196	0.009104455813953489	primary
T2D Suzuki 2024	gained_vs_control	RFX/1	Ex-4_HG	DA0262	2169	1412	1378.0	0.12654	0.039103	0.00060731	0.004998628461538462	primary
T2D Suzuki 2024	gained_vs_control	RFX/1	IFNg	DA0263	1946	1287	1244.0	0.15094	0.041244	0.00012664	0.001355048	primary
T2D Suzuki 2024	gained_vs_control	RFX/1	dex	DA0264	2630	1760	1715.0	0.09124	0.034962	0.0045356	0.02696162222222222	primary
T2D Suzuki 2024	gained_vs_control	RFX/1	palmitate	DA0265	2107	1374	1334.0	0.15536	0.039209	3.7277e-05	0.0004273541785714286	primary
T2D Suzuki 2024	gained_vs_control	RFX/2	3-cyt	DA0266	785	452	430.0	0.1373	0.067584	0.021109	0.08915775	primary
T2D Suzuki 2024	gained_vs_control	RFX/2	Ex-4_HG	DA0267	607	361	348.0	0.23403	0.074966	0.00090026	0.007048377073170731	primary
