GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T2D_diamante2022	SCTF2331	unsigned_sensitivity	ATF1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	170	112	primary	True	unsigned_sensitivity|palmitate|D016	1	108	primary	0.044218	0.0033816	0.10887	0.34232	0.6289165	0.6797645474613687	
T2D_diamante2022	SCTF2332	unsigned_sensitivity	ATF2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	43	32	primary	True	unsigned_sensitivity|palmitate|D017	1	32	primary	0.27094	0.011302	0.21585	0.10471	0.3825120408163265	0.5112624022346368	
T2D_diamante2022	SCTF2333	unsigned_sensitivity	ATF3	palmitate	empirical_p_condition<0.01; unsigned sensitivity	123	88	primary	True	unsigned_sensitivity|palmitate|D018	1	86	primary	0.36749	0.025094	0.12704	0.0019125	0.17116874999999998	0.1850875	
T2D_diamante2022	SCTF2334	unsigned_sensitivity	ATF7	palmitate	empirical_p_condition<0.01; unsigned sensitivity	184	131	primary	True	unsigned_sensitivity|palmitate|D019	1	126	primary	0.13789	0.011385	0.096958	0.077494	0.3825120408163265	0.49997980740740733	
T2D_diamante2022	SCTF2335	unsigned_sensitivity	BACH1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	174	130	primary	True	unsigned_sensitivity|palmitate|D001	2	128	primary	-0.037466	-0.0031175	0.10678	0.63715	0.7603323333333333	0.8054537735849056	
T2D_diamante2022	SCTF2336	unsigned_sensitivity	BACH2	palmitate	empirical_p_condition<0.01; unsigned sensitivity	143	97	primary	True	unsigned_sensitivity|palmitate|D020	1	95	primary	-0.054637	-0.0039202	0.11487	0.68283	0.7922584472049689	0.8292253625170998	
T2D_diamante2022	SCTF2337	unsigned_sensitivity	BHLHE40	palmitate	empirical_p_condition<0.01; unsigned sensitivity	35	30	primary	True	unsigned_sensitivity|palmitate|D021	1	29	exploratory	0.070158	0.0027863	0.18359	0.35118	0.6289165	0.6797645474613687	
T2D_diamante2022	SCTF2338	unsigned_sensitivity	BHLHE41	palmitate	empirical_p_condition<0.01; unsigned sensitivity	155	88	primary	True	unsigned_sensitivity|palmitate|D022	1	86	primary	-0.11087	-0.0075705	0.1297	0.80367	0.8581132142857142	0.8842959469696969	
T2D_diamante2022	SCTF2339	unsigned_sensitivity	BMAL1	palmitate	empirical_p_condition<0.01; unsigned sensitivity	165	87	primary	True	unsigned_sensitivity|palmitate|D023	1	81	primary	0.038478	0.0025503	0.11936	0.37358	0.647193738317757	0.6949348282828284	
T2D_diamante2022	SCTF2340	unsigned_sensitivity	CEBPB	palmitate	empirical_p_condition<0.01; unsigned sensitivity	101	49	primary	True	unsigned_sensitivity|palmitate|D024	1	47	primary	0.3794	0.019172	0.16167	0.0094763	0.2055516666666667	0.341365804	
T2D_diamante2022	SCTF2341	unsigned_sensitivity	CEBPD	palmitate	empirical_p_condition<0.01; unsigned sensitivity	112	69	primary	True	unsigned_sensitivity|palmitate|D025	1	68	primary	0.25511	0.015497	0.13789	0.032164	0.36992587499999996	0.4244673333333333	
T2D_diamante2022	SCTF2342	unsigned_sensitivity	CEBPG	palmitate	empirical_p_condition<0.01; unsigned sensitivity	162	91	primary	True	unsigned_sensitivity|palmitate|D026	1	88	primary	-0.0036087	-0.00024925	0.12363	0.51164	0.6991111450381678	0.7427307333333334	
