frozen_archetype	motif_family	candidate_TF	annotation_source	membership_evidence	motif_compatibility_level	SCbeta_baseline_expression_logCPM	SCbeta_dynamic_range	max_abs_logFC	DE_in_any_condition	n_dynamic_conditions	usable_for_candidate_TF_assignment
FOX/4	FOX	FOXK1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=79)	exact Vierstra archetype cluster member gene	archetype_cluster_member	7.054	2.187	1.382	True	1	True
FOX/4	FOX	FOXK2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=79)	exact Vierstra archetype cluster member gene	archetype_cluster_member	7.435	1.946	0.982	False	0	True
FOX/4	FOX	FOXM1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=79)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/4	FOX	FOXO1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=79)	exact Vierstra archetype cluster member gene	archetype_cluster_member	8.578	0.832	0.478	False	0	True
FOX/4	FOX	FOXP1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=79)	exact Vierstra archetype cluster member gene	archetype_cluster_member	6.15	1.676	1.085	True	1	True
FOX/4	FOX	FOXP2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=79)	exact Vierstra archetype cluster member gene	archetype_cluster_member	9.472	2.694	1.572	True	4	True
FOX/5	FOX	FOXC1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXC2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXD1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXD2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXD3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXF2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXG1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
FOX/5	FOX	FOXI1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=80)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
