TF	condition	database	n_query_genes	n_positive_rho_genes	n_negative_rho_genes	n_background_genes	n_pathways_tested	query_status	n_pathways_with_overlap	n_pathways_FDR_lt_0.05	minimum_P	minimum_BH_FDR
ATF1	3-cyt	GO_BP	61	40	20	20749	5392	testable	427	0	0.00017685116480017817	0.5836392711618842
ATF1	3-cyt	Hallmark	61	40	20	20749	50	testable	18	0	0.012893868418505764	0.6446934209252883
ATF1	3-cyt	Reactome	61	40	20	20749	1816	testable	324	0	0.0012619229258347226	0.7677257457331884
ATF1	Ex-4_HG	GO_BP	140	87	49	20749	5392	testable	776	0	5.422420616885115e-05	0.2923769196624454
ATF1	Ex-4_HG	Hallmark	140	87	49	20749	50	testable	24	0	0.0056087053941493315	0.2804352697074666
ATF1	Ex-4_HG	Reactome	140	87	49	20749	1816	testable	352	0	0.0014143539242617172	1.0
ATF1	IFNg	GO_BP	11	8	1	20749	5392	testable	100	0	0.0021190514677537106	1.0
ATF1	IFNg	Hallmark	11	8	1	20749	50	testable	9	0	0.02723121657364376	0.49163176419101123
ATF1	IFNg	Reactome	11	8	1	20749	1816	testable	69	0	0.0052899753522281335	1.0
ATF1	dex	GO_BP	153	79	73	20749	5392	testable	826	0	0.00016127627769450757	0.8653847082389329
ATF1	dex	Hallmark	153	79	73	20749	50	testable	32	0	0.019208128931077817	0.9604064465538908
ATF1	dex	Reactome	153	79	73	20749	1816	testable	369	0	0.0028441780611787983	1.0
ATF1	palmitate	GO_BP	175	98	72	20749	5392	testable	689	0	0.0019154469519687375	1.0
ATF1	palmitate	Hallmark	175	98	72	20749	50	testable	28	0	0.06624212417854625	1.0
ATF1	palmitate	Reactome	175	98	72	20749	1816	testable	291	0	0.0024490817926923533	1.0
ATF2	3-cyt	GO_BP	88	56	31	20749	5392	testable	372	0	0.0001763697891790144	0.9509859032532457
ATF2	3-cyt	Hallmark	88	56	31	20749	50	testable	10	0	0.008621467761648403	0.43107338808242013
ATF2	3-cyt	Reactome	88	56	31	20749	1816	testable	239	0	0.005826436451274908	1.0
ATF2	Ex-4_HG	GO_BP	159	57	98	20749	5392	testable	1028	0	0.00022979905422111568	0.7747919208796197
ATF2	Ex-4_HG	Hallmark	159	57	98	20749	50	testable	35	0	0.019304144950952538	0.8820158065640533
ATF2	Ex-4_HG	Reactome	159	57	98	20749	1816	testable	427	0	0.003662005267024426	1.0
ATF2	IFNg	GO_BP	91	36	53	20749	5392	testable	839	0	4.3849255314843526e-05	0.11053626138567821
ATF2	IFNg	Hallmark	91	36	53	20749	50	testable	27	0	0.0091954908312013	0.459774541560065
ATF2	IFNg	Reactome	91	36	53	20749	1816	testable	295	0	0.0001886167710593078	0.34252805624370297
ATF2	dex	GO_BP	86	32	53	20749	5392	testable	346	0	0.004059654786827162	1.0
ATF2	dex	Hallmark	86	32	53	20749	50	testable	19	0	0.07520278227160275	1.0
ATF2	dex	Reactome	86	32	53	20749	1816	testable	273	0	0.002488266891347927	1.0
ATF2	palmitate	GO_BP	48	9	34	20749	5392	testable	303	0	0.0007399266270672952	1.0
ATF2	palmitate	Hallmark	48	9	34	20749	50	testable	18	0	0.05468634563646643	0.9604414700038086
ATF2	palmitate	Reactome	48	9	34	20749	1816	testable	156	0	0.0038647038061240652	1.0
ATF3	3-cyt	GO_BP	121	74	46	20749	5392	testable	693	0	0.0004982341286217928	1.0
ATF3	3-cyt	Hallmark	121	74	46	20749	50	testable	27	0	0.04293811285971933	0.7742123568491381
ATF3	3-cyt	Reactome	121	74	46	20749	1816	testable	373	0	0.010003445890887324	1.0
ATF3	Ex-4_HG	GO_BP	149	87	58	20749	5392	testable	964	0	0.0005050206917770592	1.0
ATF3	Ex-4_HG	Hallmark	149	87	58	20749	50	testable	33	1	0.0005584971607645905	0.027924858038229524
ATF3	Ex-4_HG	Reactome	149	87	58	20749	1816	testable	317	0	0.003863013162739805	1.0
ATF3	IFNg	GO_BP	155	119	34	20749	5392	testable	870	0	0.000329420534620614	0.5920785075581169
ATF3	IFNg	Hallmark	155	119	34	20749	50	testable	39	0	0.027463977704342796	0.4947533338611825
ATF3	IFNg	Reactome	155	119	34	20749	1816	testable	460	0	0.00784285714757465	1.0
ATF3	dex	GO_BP	170	106	63	20749	5392	testable	756	0	0.0022314222124907622	1.0
ATF3	dex	Hallmark	170	106	63	20749	50	testable	30	0	0.020648879074481662	0.6904320188524308
ATF3	dex	Reactome	170	106	63	20749	1816	testable	523	0	0.001657319869026541	1.0
ATF3	palmitate	GO_BP	128	47	76	20749	5392	testable	763	0	3.343844337767611e-05	0.18030008669242956
ATF3	palmitate	Hallmark	128	47	76	20749	50	testable	35	0	0.004289982130980552	0.21449910654902762
ATF3	palmitate	Reactome	128	47	76	20749	1816	testable	313	0	0.0021601714576339874	1.0
ATF7	3-cyt	GO_BP	202	97	104	20749	5392	testable	927	0	0.0025407639355987254	1.0
ATF7	3-cyt	Hallmark	202	97	104	20749	50	testable	24	0	0.006891895718620033	0.3445947859310016
ATF7	3-cyt	Reactome	202	97	104	20749	1816	testable	338	0	0.009735408935582878	1.0
ATF7	Ex-4_HG	GO_BP	160	72	84	20749	5392	testable	822	0	0.0012098279498310193	1.0
ATF7	Ex-4_HG	Hallmark	160	72	84	20749	50	testable	29	0	0.004615276397290756	0.23076381986453778
ATF7	Ex-4_HG	Reactome	160	72	84	20749	1816	testable	448	0	0.005412012741461999	1.0
ATF7	IFNg	GO_BP	144	39	103	20749	5392	testable	749	0	0.0005798347022989625	1.0
ATF7	IFNg	Hallmark	144	39	103	20749	50	testable	24	0	0.0011585091767333585	0.05792545883666792
ATF7	IFNg	Reactome	144	39	103	20749	1816	testable	245	0	0.013832354272674707	1.0
ATF7	dex	GO_BP	157	66	90	20749	5392	testable	817	0	0.0003767519264165495	1.0
ATF7	dex	Hallmark	157	66	90	20749	50	testable	29	0	0.004150690361787009	0.20753451808935042
ATF7	dex	Reactome	157	66	90	20749	1816	testable	641	0	0.0003379608820113913	0.6137369617326865
ATF7	palmitate	GO_BP	189	48	136	20749	5392	testable	927	0	0.0002514603470031737	1.0
ATF7	palmitate	Hallmark	189	48	136	20749	50	testable	31	0	0.039343155761060705	1.0
ATF7	palmitate	Reactome	189	48	136	20749	1816	testable	510	0	0.00018691864639447018	0.22286574968126038
BACH1	3-cyt	GO_BP	167	120	46	20749	5392	testable	877	0	1.885654729064737e-05	0.10167450299117062
BACH1	3-cyt	Hallmark	167	120	46	20749	50	testable	30	4	3.310283583878499e-19	1.6551417919392495e-17
BACH1	3-cyt	Reactome	167	120	46	20749	1816	testable	490	5	5.926790849390933e-09	1.0763052182493935e-05
BACH1	Ex-4_HG	GO_BP	61	36	21	20749	5392	testable	497	0	1.9117478117822525e-05	0.06430572356904624
